0.2     0.81636439519411485577	0.00018177456099580536347    32.013138681417544262 0.014281215513573603665   34.587650877211807199 0.013797220032416500704   30.707187667407854548 0.014903140769107261002   65.294838544619651088 0.018139828387131476384   0.0059019337907386965753	2.6450161046807354509e-06
0.3     0.65799708423115310651	0.00017339128896265681556    22.492485299697484891 0.0080646876586997449932  25.437624312178748198 0.00769120496600168152    21.01469854523817915 0.010498317159752046726    46.452322857416952218 0.012385273636340404443   0.012031811635641560115	4.4692432236251417689e-06
0.5     0.36163152465188830309	0.0001757786724420744046     15.245994366622984018 0.0036528777245449770873  18.609883641645865282 0.0033408546198740343529  13.552438111118870978 0.011827377079646903685   32.162321752764732707 0.012587039018299535018   0.026134121754944571875	1.4023809721263779925e-05
0.6     0.2506851059924563585	0.00018951303675552170808     13.551593664409285367 0.0039751643617096403191  17.040497058835075705 0.0036058024798240337697  11.823058143858574454 0.012861714176836401211   28.863555202693650159 0.013680649573328252516   0.032864479871215553086	3.79033855952305563e-05
0.7     0.16707999826752062411	0.0001633797056898624847     12.395929247408226104 0.0039589357065264348112  15.976748695906568543 0.0033657898668389973906  10.593528432910803261 0.016758890064841363426   26.570277128817384238 0.01730887384340163912    0.038909748181388724431	7.7329877686282041927e-05
0.8     0.10793656262287291969	0.00014615343636591597077    11.557122641239905292 0.0050089591247975849206  15.211093702028437136 0.0037157367156277730513  9.7721401184857707989 0.024988360745285782133   24.983233820514207935 0.025270352108530576285   0.044257930520276198005	0.00017382991936043006216
0.9     0.068029823175664513868	0.00012190141793978580406   10.943704893762669528 0.0070463800056285380916  14.650854522870359276 0.0048017483383960852389  9.1070974876430543787 0.039208650147418762366   23.757952010513417207 0.039996668946458223404   0.04852676415781394248	0.00038440232860473911919
1.0     0.041837537878675709613	7.6526877071407978801e-05   10.48268468876571724 0.0078344566274881517753   14.233827258547735894 0.0052122335520255287308  8.5892748660743709621 0.045229991626540587413   22.823102124622099751 0.045688470934104809251   0.053063659977071547802	0.00052658503752004142285
1.1     0.025255760133138311502	9.4012473570373664687e-05   10.12181468737054324 0.012926685206195080366    13.901872301540581844 0.0080161405751271799791  8.1932725967823945012 0.072802054874849919663   22.095144898322974569 0.073393363254523336092   0.054769276481499047649	0.0012062369111617192788
1.2     0.01512528271902573683	8.9587922799921947212e-05    9.8456096306634144355 0.019708603808201431012   13.645190050922201053 0.011170398581986486566   7.952928984024330461 0.11358910647956337037     21.598119034946524408 0.11536353656360398556    0.058804258927519705014	0.0022821396448146117307

